board,tempP1,,,,,
13,8,925,841.856,-0.282403,-0.76903,43795.1
13,9,955,884.365,-0.338244,-1.23957,43504.1
13,10,925,854.098,-0.377621,-1.2937,43315.2
13,11,895,764.175,-0.382847,-0.936556,43432.7
13,12,880,793.999,-0.38516,-2.56391,42364.7
13,13,880,795.836,-0.335868,-2.07389,42924.1
13,14,895,802.477,-0.316255,-1.59564,43122.4
13,15,865,757.482,-0.319838,-1.50497,43047.4
13,16,865,754.781,-0.369674,-1.72795,43416.1
13,17,850,742.766,-0.367513,-1.54184,43341.7
13,18,850,768.105,-0.355738,-1.36278,42880.1
13,19,820,732.399,-0.341405,-1.6148,42657.3
13,20,880,787.799,-0.399886,-1.79848,42796.2
13,21,940,832.871,-0.311606,-1.81587,42706
13,22,880,774.687,-0.278586,-1.48272,42717.6
13,23,850,764.01,-0.308086,-1.24326,43020.1
13,24,910,815.608,-0.35722,-1.87882,42948.3
13,25,925,827.79,-0.281318,-0.967137,43344.2
13,26,895,799.811,-0.325153,-1.51401,42677
13,27,865,769.511,-0.290255,-1.47348,42722.6
13,28,880,781.737,-0.331385,0.0259942,43828.8
13,29,835,743.884,-0.32865,-0.663326,43455.8
13,30,835,766.36,-0.341675,-0.629003,43323.5
13,31,835,727.911,-0.341045,0.615132,44175
14,0,910,786.439,-0.296475,0.844975,43945.1
14,1,805,717.327,-0.36534,0.646344,43898.6
14,2,850,759.054,-0.356931,1.01099,44262.8
14,3,880,776.198,-0.341647,1.10346,44414.3
14,4,865,748.833,-0.314715,-1.359,42556.8
14,5,865,746.86,-0.264935,-1.0402,43037.2
14,6,880,790.035,-0.363541,-0.854064,43263.9
14,7,880,811.926,-0.349788,-0.791935,43075.1
14,8,895,787.706,-0.292027,-0.423796,43439.7
14,9,850,744.927,-0.32361,-1.31305,42841.6
14,10,820,717.632,-0.33556,-1.05495,42921
14,11,850,760.575,-0.321032,-0.737305,42973.8
14,12,820,735.972,-0.348395,-1.44648,42420.4
14,13,865,776.508,-0.400637,-1.40424,42984.3
14,14,805,710.994,-0.37978,-1.65915,42443.1
14,15,775,702.192,-0.358323,-1.65146,42337.5
14,16,865,782.771,-0.402717,-1.91527,42912
14,17,880,785.323,-0.366891,-1.67916,42813.1
14,18,865,785.964,-0.365474,-0.00791693,43540.8
14,19,790,709.081,-0.352249,-1.28787,42654.8
14,20,865,771.523,-0.339812,-2.05027,42184.5
14,21,880,778.467,-0.267649,-1.61739,42433.8
14,22,880,827.883,-0.355975,-1.13869,42555
14,23,865,807.687,-0.37758,-0.916719,42815.4
14,24,865,757.797,-0.315828,-0.994815,43195.4
14,25,910,830.365,-0.293386,-0.404898,43453.8
14,26,865,789.981,-0.308997,-1.22453,42547.3
14,27,925,825.605,-0.296906,0.444919,43880.8
14,28,850,753.331,-0.328266,0.310194,43698.8
14,29,820,768.82,-0.369365,-0.863409,42935.2
14,30,820,768.768,-0.377221,-0.503813,42967.4
14,31,820,751.874,-0.384665,0.73893,43866.6
15,0,775,690.114,-0.39012,-0.325592,44400.8
15,1,775,710.032,-0.32671,-0.00942028,44474.7
15,2,835,770.029,-0.319703,0.399995,45027.3
15,3,820,741.572,-0.305579,1.0572,45360.5
